Código,Nome,Telefone
309398,Juliana Costa,11933684268
632480,Ana Pereira,11924462885
823124,Camila Rocha,11908865476
736671,João Silva,11980528766
796497,Fernanda Alves,11999509906
297465,Maria Souza,11998686265
312029,Fernanda Alves,11926132545
476801,Ana Pereira,11930409727
494042,Lucas Lima,11957434894
896126,Juliana Costa,11969008763
820447,Juliana Costa,11955648106
629389,Maria Souza,11902911702
921129,Camila Rocha,11988194397
863041,Camila Rocha,11999059501
603751,Lucas Lima,11995801446
146933,Fernanda Alves,11964340023
128543,Lucas Lima,11966979532
387150,Carlos Oliveira,11922589133
789060,Carlos Oliveira,11938070613
582050,Ana Pereira,11962743531
613503,Juliana Costa,11967627900
555940,Fernanda Alves,11926242434
748862,Lucas Lima,11916269758
525561,Maria Souza,11989784777
114472,Camila Rocha,11912951256
448475,João Silva,11966316203
885171,Paulo Santos,11999649520
127268,Juliana Costa,11905511673
239849,Juliana Costa,11975193222
297625,Fernanda Alves,11991069140
962698,Lucas Lima,11948072544
782813,Maria Souza,11966741374
384377,Lucas Lima,11997623509
343562,Maria Souza,11941610732
551416,Paulo Santos,11906654030
308348,Carlos Oliveira,11922787547
365586,Fernanda Alves,11983331589
130801,Maria Souza,11930436010
228662,Paulo Santos,11975174381
851910,Fernanda Alves,11982097681
257207,Ana Pereira,11912841817
837345,João Silva,11995819707
235492,Paulo Santos,11901174867
928946,Ana Pereira,11936296863
167296,João Silva,11901633329
353033,Camila Rocha,11936747561
150006,Ana Pereira,11995551492
353714,Carlos Oliveira,11935409801
932994,Fernanda Alves,11953415598
644540,Juliana Costa,11940100825
447483,Carlos Oliveira,11964346452
584654,Paulo Santos,11976908963
191292,Paulo Santos,11995157839
715546,Fernanda Alves,11995496838
475657,Paulo Santos,11905342907
414252,Carlos Oliveira,11974948594
287595,João Silva,11921736778
992835,Carlos Oliveira,11988740524
181595,Camila Rocha,11975821094
119111,Maria Souza,11976577495
474992,Ana Pereira,11904874248
792069,Juliana Costa,11998611090
547914,Maria Souza,11907145433
941007,Carlos Oliveira,11950460207
931978,Paulo Santos,11988694229
834440,Lucas Lima,11980609328
152171,João Silva,11913090809
574271,Ana Pereira,11939732003
430215,Carlos Oliveira,11961597341
807247,Paulo Santos,11984145757
252342,João Silva,11996770664
668970,Maria Souza,11917175675
810552,Paulo Santos,11948912284
391710,Camila Rocha,11970717780
160635,Camila Rocha,11967958633
233067,Lucas Lima,11948916200
844180,Lucas Lima,11915588391
157840,Fernanda Alves,11924272682
832608,Ana Pereira,11978649087
568864,Fernanda Alves,11956727064
214205,Carlos Oliveira,11994372164
796940,Fernanda Alves,11945360515
882851,Maria Souza,11912749605
822086,Maria Souza,11972343428
541034,Paulo Santos,11976691675
723425,Juliana Costa,11991917900
441593,Camila Rocha,11941851668
470614,Ricardo Mendes,11989607865
789740,Ricardo Mendes,11973989082
967676,Juliana Costa,11991990250
579940,Paulo Santos,11945895143
396255,Fernanda Alves,11948324660
947680,Ricardo Mendes,11926852328
895621,Camila Rocha,11916516012
554219,Paulo Santos,11930559121
442943,Carlos Oliveira,11910763618
142575,Fernanda Alves,11959819719
616170,Paulo Santos,11930707057
322129,Camila Rocha,11917704763
381434,Carlos Oliveira,11991866898
963084,Paulo Santos,11988798290
503238,Carlos Oliveira,11991018407
379917,Carlos Oliveira,11948085863
584089,Camila Rocha,11929740534
849433,Carlos Oliveira,11975694193
909431,João Silva,11918132458
740195,Paulo Santos,11969600214
355834,Juliana Costa,11954417046
849516,Fernanda Alves,11928703675
359550,Fernanda Alves,11938625342
762290,Ricardo Mendes,11997843588
329878,Fernanda Alves,11969594326
212466,Paulo Santos,11939828527
392634,Maria Souza,11978940097
976823,Fernanda Alves,11959860527
848450,Lucas Lima,11955670270
938913,Maria Souza,11910857941
721789,Lucas Lima,11965498812
149261,Camila Rocha,11918884273
280041,Camila Rocha,11999506479
818972,Lucas Lima,11968199430
552684,Fernanda Alves,11982813531
283341,Fernanda Alves,11930148494
316538,Maria Souza,11997788449
881575,Maria Souza,11937396850
174280,João Silva,11962451355
586759,Ana Pereira,11989169346
957177,Ricardo Mendes,11989161064
860385,João Silva,11984743762
298241,Ricardo Mendes,11918182325
180104,Lucas Lima,11981144659
643478,Fernanda Alves,11914139152
973034,João Silva,11933822417
280557,Juliana Costa,11904264988
468753,Camila Rocha,11981000222
261787,Ana Pereira,11950859652
786293,Ana Pereira,11932232294
627744,Lucas Lima,11951495419
879232,Juliana Costa,11941586788
302785,Lucas Lima,11921021853
506453,Lucas Lima,11908039021
867442,Ana Pereira,11956335555
334363,Fernanda Alves,11993426399
161610,Juliana Costa,11965991774
622228,Camila Rocha,11941711855
682081,Lucas Lima,11916503505
165637,Maria Souza,11904468924
257651,Paulo Santos,11921873358
821561,Maria Souza,11922328499
938079,Carlos Oliveira,11906466884
266435,João Silva,11901195359
920857,Carlos Oliveira,11928675161
759449,Maria Souza,11979343409
454826,Juliana Costa,11971186810
921568,João Silva,11927900535
127991,Maria Souza,11915617014
990575,Juliana Costa,11926266839
752670,Ana Pereira,11995343283
626026,Camila Rocha,11921789878
506555,Fernanda Alves,11905198536
659817,Paulo Santos,11903628995
198701,Juliana Costa,11936670105
779676,Lucas Lima,11959211956
668214,Carlos Oliveira,11963008916
467442,Lucas Lima,11927792059
576165,Paulo Santos,11909672987
987482,Camila Rocha,11985708769
991388,Ricardo Mendes,11910462743
533664,Juliana Costa,11912644823
316064,Maria Souza,11945230055
822335,Camila Rocha,11928863022
414175,Paulo Santos,11934569436
632777,Ana Pereira,11926165892
711721,Maria Souza,11956378329
233535,João Silva,11967050772
620460,João Silva,11978752303
614532,Lucas Lima,11920421280
950714,Camila Rocha,11956047951
926345,Carlos Oliveira,11906462969
260014,Ana Pereira,11926564754
547570,João Silva,11987700886
432938,Paulo Santos,11900895464
268625,Maria Souza,11937472781
503410,Ricardo Mendes,11993137193
769055,Lucas Lima,11946841580
261932,João Silva,11914360914
721940,Ana Pereira,11948077564
985636,Camila Rocha,11958920518
277892,Ricardo Mendes,11971614875
916830,Fernanda Alves,11928024272
808497,Ricardo Mendes,11904851689
354790,Maria Souza,11989383223
942845,Camila Rocha,11981136723
781480,Ana Pereira,11950153891
259646,Juliana Costa,11989997529
200627,Paulo Santos,11915035752
827178,Paulo Santos,11945768960
431469,Paulo Santos,11941168913
777052,João Silva,11946755770
743526,Ricardo Mendes,11907607668
977682,Juliana Costa,11963314138
654359,Carlos Oliveira,11950738033
760315,João Silva,11915310073
555871,Ricardo Mendes,11904868952
136163,Maria Souza,11901667366
640239,Ricardo Mendes,11955551688
768121,Maria Souza,11954982502
398642,Camila Rocha,11926097428
163648,Carlos Oliveira,11972859639
798585,João Silva,11938665184
480958,Ricardo Mendes,11988934219
548648,Maria Souza,11966855440
611117,Lucas Lima,11935844422
